Kine	Model	x	Azz	Creator
H1	LC-CDBonn	1.0953359727	-0.021878123	Misak
H1	LC-CDBonn	1.1071675995	-0.0447062777	Misak
H1	LC-CDBonn	1.1217296018	-0.0760949905	Misak
H1	LC-CDBonn	1.1344713538	-0.1060569436	Misak
H1	LC-CDBonn	1.1499434812	-0.1460062143	Misak
H1	LC-CDBonn	1.1663257338	-0.1930892834	Misak
H1	LC-CDBonn	1.1881687372	-0.2587202283	Misak
H1	LC-CDBonn	1.2009104892	-0.3029497781	Misak
H1	LC-CDBonn	1.3001141297	-0.6781875713	Misak
H1	LC-CDBonn	1.327417884	-0.7794875079	Misak
H1	LC-CDBonn	1.3456203868	-0.8493987318	Misak
H1	LC-CDBonn	1.3592722639	-0.8964818009	Misak
H1	LC-CDBonn	1.3692836405	-0.9292972733	Misak
H1	LC-CDBonn	1.3792950171	-0.9578324667	Misak
H1	LC-CDBonn	1.3874861433	-0.9778071021	Misak
H1	LC-CDBonn	1.4020481456	-1.0134760938	Misak
H1	LC-CDBonn	1.4166101479	-1.0434380469	Misak
H1	LC-CDBonn	1.4311721502	-1.0705464807	Misak
H1	LC-CDBonn	1.4439139022	-1.0890943564	Misak
H1	LC-CDBonn	1.4548354039	-1.1019351934	Misak
H1	LC-CDBonn	1.4657569056	-1.1133492708	Misak
H1	LC-CDBonn	1.4766784073	-1.1204830691	Misak
H1	LC-CDBonn	1.4885100341	-1.1233365885	Misak
H1	LC-CDBonn	1.4985214107	-1.1233365885	Misak
H1	LC-CDBonn	1.5085327873	-1.1190563094	Misak
H1	LC-CDBonn	1.5139935381	-1.1147760304	Misak
H1	LC-CDBonn	1.5230947895	-1.1047887127	Misak
H1	LC-CDBonn	1.5331061661	-1.0919478757	Misak
H1	LC-CDBonn	1.5440276678	-1.0719732403	Misak
H1	LC-CDBonn	1.5540390444	-1.0519986049	Misak
H1	LC-CDBonn	1.5667807964	-1.0234634115	Misak
H1	LC-CDBonn	1.5822529238	-0.9820873811	Misak
H1	LC-CDBonn	1.6004554266	-0.930724033	Misak
H1	LC-CDBonn	1.6177478043	-0.8765071655	Misak
H1	LC-CDBonn	1.6295794312	-0.8337043754	Misak
H1	LC-CDBonn	1.6441414334	-0.7794875079	Misak
H1	LC-CDBonn	1.6614338111	-0.7081495244	Misak
H1	LC-CDBonn	1.6932881911	-0.5754608751	Misak
H1	LC-CDBonn	1.7333336974	-0.402822955	Misak
H1	LC-CDBonn	1.7542665757	-0.3043765377	Misak
H1	LC-CDBonn	1.7761095791	-0.2030766011	Misak
H1	LC-CDBonn	1.7961323322	-0.1017766646	Misak
H1	LC-CDBonn	1.8134247099	-0.0161710843	Misak
H1	VN-AV18	0.5010238908	0.0066570704	Misak
H1	VN-AV18	0.5510811377	0.0095105897	Misak
H1	VN-AV18	0.6038683959	0.0052303107	Misak
H1	VN-AV18	0.6994315358	-0.0147443247	Misak
H1	VN-AV18	0.8077364278	-0.026158402	Misak
H1	VN-AV18	0.8832768146	-0.0447062777	Misak
H1	VN-AV18	0.8905578157	-0.0432795181	Misak
H1	VN-AV18	0.9032995677	-0.0375724794	Misak
H1	VN-AV18	0.9187716951	-0.0233048827	Misak
H1	VN-AV18	0.9451653242	0.0080838301	Misak
H1	VN-AV18	0.9679184528	0.0337655041	Misak
H1	VN-AV18	0.9806602048	0.0437528218	Misak
H1	VN-AV18	0.9915817065	0.0480331008	Misak
H1	VN-AV18	1.0043234585	0.0480331008	Misak
H1	VN-AV18	1.0216158362	0.0394725428	Misak
H1	VN-AV18	1.0389082139	0.0266317058	Misak
H1	VN-AV18	1.0571107167	0.0066570704	Misak
H1	VN-AV18	1.071672719	-0.0147443247	Misak
H1	VN-AV18	1.0862347213	-0.0404259987	Misak
H1	VN-AV18	1.0953359727	-0.0589738744	Misak
H1	VN-AV18	1.1071675995	-0.0903625872	Misak
H1	VN-AV18	1.122639727	-0.1331653773	Misak
H1	VN-AV18	1.1372017292	-0.1802484464	Misak
H1	VN-AV18	1.1554042321	-0.2473061509	Misak
H1	VN-AV18	1.2009104892	-0.42422435	Misak
H1	VN-AV18	1.2145623663	-0.4784412175	Misak
H1	VN-AV18	1.2364053697	-0.5754608751	Misak
H1	VN-AV18	1.263709124	-0.6995889664	Misak
H1	VN-AV18	1.2755407509	-0.7509523145	Misak
H1	VN-AV18	1.2864622526	-0.7894748256	Misak
