          iterations=   6     deuteron energy=-.222462069E+01 MeV


                  D-state probability=0.442679905E-01




   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.626961530E+02  0.272126443E-33  0.281107904E-34
 0.630884512E+02  0.276255756E-33  0.281874515E-34
 0.634807262E+02  0.280414877E-33  0.282620083E-34
 0.638729626E+02  0.284603617E-33  0.283344554E-34
 0.642651449E+02  0.288821778E-33  0.284047877E-34
 0.646572576E+02  0.293069163E-33  0.284730003E-34
 0.650492854E+02  0.297345564E-33  0.285390890E-34
 0.654412127E+02  0.301650774E-33  0.286030499E-34
 0.658330241E+02  0.305984577E-33  0.286648795E-34
 0.662247042E+02  0.310346756E-33  0.287245746E-34
 0.666162375E+02  0.314737086E-33  0.287821326E-34
 0.670076087E+02  0.319155341E-33  0.288375510E-34
 0.673988023E+02  0.323601287E-33  0.288908280E-34
 0.677898029E+02  0.328074688E-33  0.289419619E-34
 0.681805950E+02  0.332575302E-33  0.289909517E-34
 0.685711634E+02  0.337102884E-33  0.290377966E-34
 0.689614925E+02  0.341657183E-33  0.290824962E-34
 0.693515671E+02  0.346237944E-33  0.291250506E-34
 0.697413717E+02  0.350844908E-33  0.291654601E-34
 0.701308910E+02  0.355477812E-33  0.292037255E-34
 0.705201097E+02  0.360136388E-33  0.292398481E-34
 0.709090123E+02  0.364820363E-33  0.292738293E-34
 0.712975837E+02  0.369529462E-33  0.293056712E-34
 0.716858084E+02  0.374263403E-33  0.293353761E-34
 0.720736712E+02  0.379021902E-33  0.293629466E-34
 0.724611569E+02  0.383804670E-33  0.293883858E-34
 0.728482500E+02  0.388611412E-33  0.294116973E-34
 0.732349355E+02  0.393441833E-33  0.294328849E-34
 0.736211980E+02  0.398295630E-33  0.294519527E-34
 0.740070223E+02  0.403172498E-33  0.294689054E-34
 0.743923932E+02  0.408072127E-33  0.294837479E-34
 0.747772956E+02  0.412994204E-33  0.294964856E-34
 0.751617143E+02  0.417938410E-33  0.295071241E-34
 0.755456341E+02  0.422904426E-33  0.295156695E-34
 0.759290400E+02  0.427891925E-33  0.295221282E-34
 0.763119167E+02  0.432900578E-33  0.295265070E-34
 0.766942492E+02  0.437930053E-33  0.295288130E-34
 0.770760225E+02  0.442980012E-33  0.295290537E-34
 0.774572216E+02  0.448050114E-33  0.295272370E-34
 0.778378313E+02  0.453140017E-33  0.295233710E-34
 0.782178367E+02  0.458249371E-33  0.295174643E-34
 0.785972228E+02  0.463377825E-33  0.295095258E-34
 0.789759747E+02  0.468525025E-33  0.294995647E-34
 0.793540775E+02  0.473690611E-33  0.294875906E-34
 0.797315162E+02  0.478874222E-33  0.294736134E-34
 0.801082760E+02  0.484075491E-33  0.294576434E-34
 0.804843421E+02  0.489294051E-33  0.294396911E-34
 0.808596996E+02  0.494529527E-33  0.294197675E-34
 0.812343337E+02  0.499781546E-33  0.293978838E-34
 0.816082297E+02  0.505049728E-33  0.293740516E-34
 0.819813728E+02  0.510333690E-33  0.293482827E-34
 0.823537484E+02  0.515633048E-33  0.293205894E-34
 0.827253418E+02  0.520947412E-33  0.292909842E-34
 0.830961383E+02  0.526276391E-33  0.292594800E-34
 0.834661233E+02  0.531619591E-33  0.292260899E-34
 0.838352823E+02  0.536976612E-33  0.291908273E-34
 0.842036006E+02  0.542347056E-33  0.291537061E-34
 0.845710639E+02  0.547730518E-33  0.291147403E-34
 0.849376575E+02  0.553126591E-33  0.290739442E-34
 0.853033672E+02  0.558534867E-33  0.290313326E-34
 0.856681784E+02  0.563954932E-33  0.289869203E-34
 0.860320768E+02  0.569386373E-33  0.289407227E-34
 0.863950480E+02  0.574828772E-33  0.288927552E-34
 0.867570778E+02  0.580281708E-33  0.288430337E-34
 0.871181518E+02  0.585744759E-33  0.287915743E-34
 0.874782560E+02  0.591217500E-33  0.287383932E-34
 0.878373760E+02  0.596699503E-33  0.286835072E-34
