#          iterations=   6     deuteron energy=-.222458389E+01 MeV
#
#
#                  D-state probability=0.575987699E-01
#
#
#
#
#   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.576011977E+02  0.856330382E-11  -.129691683E-08
 0.579923913E+02  0.812163153E-11  -.124566418E-08
 0.583837625E+02  0.770531073E-11  -.119673448E-08
 0.587752958E+02  0.731264144E-11  -.115001181E-08
 0.591669759E+02  0.694224559E-11  -.110538607E-08
 0.595587873E+02  0.659336493E-11  -.106275188E-08
 0.599507146E+02  0.626468446E-11  -.102201011E-08
 0.603427424E+02  0.595428280E-11  -.983068091E-09
 0.607348551E+02  0.566139475E-11  -.945837790E-09
 0.611270374E+02  0.538529926E-11  -.910234678E-09
 0.615192738E+02  0.512479262E-11  -.876179030E-09
 0.619115488E+02  0.487858335E-11  -.843596383E-09
 0.623038470E+02  0.464504640E-11  -.812417100E-09
 0.626961530E+02  0.442331334E-11  -.782574604E-09
 0.630884512E+02  0.421688084E-11  -.753993712E-09
 0.634807262E+02  0.402719920E-11  -.726603025E-09
 0.638729626E+02  0.382535836E-11  -.700428371E-09
 0.642651449E+02  0.359704305E-11  -.675480547E-09
 0.646572576E+02  0.350953555E-11  -.651211548E-09
 0.650492854E+02  0.360101490E-11  -.627341615E-09
 0.654412127E+02  0.307115386E-11  -.606192260E-09
 0.658330241E+02  0.200841539E-11  -.587876625E-09
 0.662247042E+02  0.332739277E-11  -.563672642E-09
 0.666162375E+02  0.548153237E-11  -.537017590E-09
 0.670076087E+02  0.955548457E-12  -.530503816E-09
 0.673988023E+02  -.213156937E-11  -.521921880E-09
 0.677898029E+02  0.721704089E-11  -.477355687E-09
 0.681805950E+02  0.547513863E-11  -.465093594E-09
 0.685711634E+02  -.587765273E-11  -.482783061E-09
 0.689614925E+02  0.704220886E-11  -.428695052E-09
 0.693515671E+02  0.563362939E-11  -.417307496E-09
 0.697413717E+02  -.866485173E-11  -.446386219E-09
 0.701308910E+02  0.116158781E-10  -.371312805E-09
 0.705201097E+02  -.595063659E-12  -.394642624E-09
 0.709090123E+02  -.578470664E-11  -.398326334E-09
 0.712975837E+02  0.156843016E-10  -.320234889E-09
 0.716858084E+02  -.128548076E-10  -.395669000E-09
 0.720736712E+02  0.101986274E-10  -.314162619E-09
 0.724611569E+02  0.209844023E-11  -.327431487E-09
 0.728482500E+02  -.887576816E-11  -.351308534E-09
 0.732349355E+02  0.186763650E-10  -.255919665E-09
 0.736211980E+02  -.190996026E-10  -.362725505E-09
 0.740070223E+02  0.202716396E-10  -.232059552E-09
 0.743923932E+02  -.130449025E-10  -.325414480E-09
 0.747772956E+02  0.813991125E-11  -.251916189E-09
 0.751617143E+02  0.214200618E-11  -.261271576E-09
 0.755456341E+02  -.800502120E-11  -.285437385E-09
 0.759290400E+02  0.169548586E-10  -.199538502E-09
 0.763119167E+02  -.206014813E-10  -.309135893E-09
 0.766942492E+02  0.264632614E-10  -.155363233E-09
 0.770760225E+02  -.273067626E-10  -.315661875E-09
 0.774572216E+02  0.304154373E-10  -.129452226E-09
 0.778378313E+02  -.293074397E-10  -.308608908E-09
 0.782178367E+02  0.308183937E-10  -.115498942E-09
 0.785972228E+02  -.289373383E-10  -.295131632E-09
 0.789759747E+02  0.299730473E-10  -.106271880E-09
 0.793540775E+02  -.282695298E-10  -.281593278E-09
 0.797315162E+02  0.296080211E-10  -.963229925E-10
 0.801082760E+02  -.286541179E-10  -.272141444E-09
 0.804843421E+02  0.306992073E-10  -.825539126E-10
 0.808596996E+02  -.306945185E-10  -.268609547E-09
 0.812343337E+02  0.334800974E-10  -.641618422E-10
 0.816082297E+02  -.342450402E-10  -.270492663E-09
 0.819813728E+02  0.373812790E-10  -.428537941E-10
 0.823537484E+02  -.382672765E-10  -.274513564E-09
 0.827253418E+02  0.408396522E-10  -.234547316E-10
 0.830961383E+02  -.406367249E-10  -.273993277E-09
 0.834661233E+02  0.411743929E-10  -.143042185E-10
 0.838352823E+02  -.381982981E-10  -.259016593E-09
 0.842036006E+02  0.349602438E-10  -.261113491E-10
 0.845710639E+02  -.275989923E-10  -.219006851E-09
